t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.0080,-0.1541,-0.3875,-0.9810,7.420,-3.160,-1.122,28.67
0.0148,-0.1228,-0.3743,-0.9785,6.298,-3.397,-2.756,28.43
0.0410,-0.1370,-0.3635,-0.9939,5.809,-4.427,-1.328,28.67
0.0439,-0.1199,-0.3389,-0.9875,6.229,-3.198,0.366,28.76
0.0498,-0.1274,-0.3359,-0.9861,0.878,5.061,1.389,28.24
0.0613,-0.1487,-0.3540,-0.9883,6.695,-3.450,1.947,28.76
0.0651,-0.1414,-0.3523,-0.9758,8.718,-10.779,0.573,28.62
0.0814,-0.1370,-0.3662,-0.9810,6.443,-4.298,0.901,28.62
0.0851,-0.1472,-0.3667,-0.9692,11.015,-13.931,-1.099,29.00
0.0953,-0.1555,-0.3616,-0.9854,6.221,-5.076,-0.191,28.38
0.1099,-0.1533,-0.3560,-0.9766,6.611,-4.183,-0.489,28.62
0.1135,-0.1392,-0.3555,-0.9812,5.267,-0.244,0.252,28.57
0.1248,-0.1421,-0.3494,-0.9897,6.885,-4.168,0.435,28.48
0.1425,-0.1416,-0.3650,-0.9741,7.183,-3.412,1.168,28.24
0.1464,-0.1392,-0.3577,-0.9731,3.893,2.855,2.695,28.67
0.1558,-0.1548,-0.3640,-0.9785,7.924,-4.863,0.511,28.38
0.1664,-0.1514,-0.3708,-0.9712,7.168,-3.137,0.542,28.62
0.1742,-0.1538,-0.3665,-0.9727,7.664,-4.237,0.221,28.67
0.1901,-0.1360,-0.3604,-0.9768,7.695,-3.015,-0.076,28.62
0.1979,-0.1382,-0.3562,-0.9758,11.061,-9.000,-0.206,28.43
0.2040,-0.1431,-0.3601,-0.9729,7.046,-1.061,0.244,28.57
0.2151,-0.1545,-0.3601,-0.9741,8.069,-2.763,0.275,28.76
0.2314,-0.1357,-0.3672,-0.9766,8.611,-2.618,1.672,28.67
0.2407,-0.1233,-0.3481,-0.9683,6.107,-1.649,1.863,28.43
0.2446,-0.1450,-0.3738,-0.9846,8.908,-3.137,1.931,28.81
0.2560,-0.1531,-0.3811,-0.9717,8.656,-2.366,1.107,28.67
0.2718,-0.1584,-0.3867,-0.9761,8.718,-3.183,0.527,28.62
0.2814,-0.1433,-0.3752,-0.9739,8.405,-3.015,1.031,28.43
0.2857,-0.1365,-0.3699,-0.9749,11.847,-9.870,-0.168,29.15
0.2961,-0.1475,-0.3721,-0.9712,8.305,-2.206,0.000,28.62
0.3061,-0.1472,-0.3838,-0.9653,8.435,-2.023,0.511,28.91
0.3214,-0.1475,-0.3828,-0.9697,7.840,-2.160,-0.061,28.76
0.3242,-0.1443,-0.3896,-0.9641,11.992,-9.534,-0.504,28.76
0.3351,-0.1479,-0.3862,-0.9646,7.962,-2.908,-0.679,28.57
0.3482,-0.1550,-0.3896,-0.9678,7.427,-2.183,-1.290,28.43
0.3542,-0.1394,-0.3926,-0.9668,6.260,-0.565,-0.710,28.09
0.3694,-0.1313,-0.3828,-0.9673,6.733,-3.053,-0.832,28.91
0.3761,-0.1340,-0.3926,-0.9700,10.099,-8.519,-1.641,28.43
0.3850,-0.1370,-0.3906,-0.9592,6.229,-3.267,-1.053,28.67
0.3984,-0.1396,-0.3896,-0.9619,6.053,-2.863,-0.756,28.91
0.4061,-0.1350,-0.3794,-0.9629,5.718,-2.443,0.069,28.76
0.4157,-0.1370,-0.3918,-0.9583,5.527,-3.489,-0.298,28.91
0.4291,-0.1394,-0.3889,-0.9583,5.084,-2.878,0.740,28.62
0.4355,-0.1379,-0.3896,-0.9580,4.496,-2.870,1.496,28.38
0.4446,-0.1399,-0.3894,-0.9661,4.771,-3.267,1.947,28.67
0.4563,-0.1353,-0.3901,-0.9622,3.733,-2.748,2.260,28.43
0.4781,-0.1448,-0.3972,-0.9597,1.504,1.008,3.069,28.91
0.4805,-0.1428,-0.3906,-0.9600,3.366,-2.443,2.885,28.57
0.4839,-0.1421,-0.3811,-0.9521,-1.160,3.374,4.328,28.48
0.4996,-0.1445,-0.3904,-0.9678,2.939,-2.786,3.618,28.67
0.5057,-0.1384,-0.3960,-0.9575,3.122,-3.939,3.817,28.76
0.5161,-0.1406,-0.3877,-0.9617,1.031,0.176,5.420,28.62
0.5278,-0.1467,-0.3474,-0.9744,3.061,-3.153,6.107,28.57
0.5415,-0.1296,-0.3694,-0.9634,3.153,-0.832,10.649,28.43
0.5448,-0.1294,-0.3591,-0.9697,2.336,1.901,12.534,28.96
0.5605,-0.1248,-0.3774,-0.9463,3.344,1.656,13.481,29.15
0.5646,-0.1428,-0.3909,-0.9370,2.634,3.176,16.168,28.81
0.5733,-0.1636,-0.4045,-0.9268,4.389,0.656,18.427,28.43
0.5869,-0.2004,-0.3699,-0.9382,1.939,-1.153,21.901,28.43
0.5943,-0.1687,-0.3574,-0.9292,1.511,-2.214,20.733,28.48
0.6036,-0.1089,-0.3823,-0.9392,1.725,-1.725,17.061,28.43
