t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.0028,0.8982,-0.4700,0.0088,3.130,-3.237,-5.168,25.79
0.0327,0.8665,-0.4922,0.0127,2.229,-2.244,1.397,25.94
0.0367,0.8652,-0.4958,0.0022,8.580,-14.229,-1.992,25.94
0.0442,0.8674,-0.4893,0.0105,4.985,-9.740,-3.397,25.98
0.0620,0.8713,-0.4907,0.0073,0.718,0.718,-4.031,25.84
0.0715,0.8857,-0.4851,0.0134,1.504,-2.260,-3.206,25.65
0.0767,0.8782,-0.4817,0.0054,1.595,-3.374,-1.351,25.84
0.0848,0.8794,-0.4736,0.0134,6.855,-15.137,-1.099,25.79
0.0879,0.8845,-0.5000,-0.0015,1.733,-2.832,0.557,25.65
0.1019,0.8733,-0.5068,0.0125,4.550,-2.649,0.252,25.84
0.1115,0.8691,-0.4858,0.0122,-1.382,5.664,-0.458,25.84
0.1158,0.8704,-0.5156,0.0168,6.679,-4.290,-1.252,25.65
0.1405,0.9099,-0.4731,-0.0205,8.275,-3.427,-10.771,25.65
0.1443,0.9019,-0.4517,0.0273,0.519,-2.420,-2.779,26.18
0.1610,0.9202,-0.4905,-0.0078,5.748,-10.115,1.137,25.84
0.1634,0.8916,-0.5039,-0.0171,1.191,-1.916,2.893,25.79
0.1672,0.8931,-0.5046,-0.0164,-3.076,12.137,6.573,25.74
0.1757,0.8611,-0.4961,0.0139,1.580,-2.443,0.565,25.74
0.1938,0.8833,-0.4895,0.0068,2.557,-3.466,-6.031,25.84
0.2005,0.8840,-0.4807,0.0027,8.542,-14.794,-6.183,25.65
0.2115,0.8918,-0.4775,0.0017,1.603,-1.939,-2.626,25.27
0.2153,0.8872,-0.4851,0.0029,1.870,-1.954,0.885,25.94
0.2288,0.8728,-0.4927,0.0051,2.130,-2.534,-0.794,25.94
0.2351,0.8760,-0.4883,-0.0005,1.611,-2.260,-2.969,25.50
0.2494,0.8770,-0.4868,0.0046,1.450,-3.031,-4.527,25.65
0.2579,0.8779,-0.4714,0.0168,0.511,-4.511,-4.412,25.74
0.2674,0.8760,-0.4482,0.0833,5.290,-2.405,3.366,25.84
0.2755,0.8569,-0.4490,0.0549,4.565,-5.511,-3.664,25.46
0.2904,0.9087,-0.4373,-0.0125,-0.580,-1.878,-22.450,25.41
0.2940,0.9561,-0.4836,-0.0347,-3.038,0.191,-3.122,25.41
0.3106,0.8086,-0.5518,0.0017,1.397,-0.824,3.718,25.84
0.3165,0.8062,-0.5371,0.0059,-2.878,10.359,-1.290,25.74
0.3295,0.8938,-0.4800,0.0054,3.519,-7.053,-18.679,25.65
