t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.0058,0.1909,-0.4851,-0.9041,0.672,-3.267,-2.901,27.57
0.0156,0.1843,-0.4812,-0.9163,0.718,-3.389,-2.527,27.95
0.0267,0.1951,-0.4824,-0.9189,0.351,-2.015,-2.267,27.95
0.0340,0.1985,-0.4824,-0.9192,0.740,-3.015,-2.176,27.37
0.0475,0.1887,-0.4834,-0.9197,0.618,-2.412,-2.069,27.76
0.0601,0.1846,-0.4817,-0.9270,0.366,-2.595,-1.046,28.09
0.0644,0.2002,-0.4761,-0.9221,0.145,-5.176,-1.176,27.61
0.0951,0.1868,-0.4844,-0.9170,0.298,-2.802,-1.046,27.85
0.1065,0.1943,-0.4802,-0.9204,0.206,-2.534,-0.870,27.85
0.1106,0.2097,-0.4604,-0.9204,0.458,-4.145,0.336,27.52
0.1129,0.2380,-0.4355,-0.9260,4.870,-14.565,0.725,27.52
0.1170,0.2654,-0.4211,-0.9202,-6.290,6.939,3.695,27.95
0.1315,0.1699,-0.4524,-0.9238,-1.176,-4.878,-1.763,27.61
0.1340,0.1311,-0.5115,-0.9399,-2.580,-3.756,-3.153,28.09
0.1478,0.2622,-0.5266,-0.9429,-1.435,-4.313,-1.878,27.95
0.1565,0.2751,-0.4880,-0.9485,-1.183,-1.954,0.336,28.04
0.1672,0.2229,-0.4609,-0.9282,-0.771,-2.427,0.931,28.09
0.1786,0.2205,-0.4688,-0.9106,-0.969,-2.916,-0.840,28.24
0.1854,0.2219,-0.4651,-0.9038,-1.321,-1.237,0.183,27.85
0.1931,0.2109,-0.4685,-0.9067,-1.290,-0.656,-0.969,27.57
0.2120,0.1997,-0.4663,-0.9148,0.893,-2.038,-0.061,28.04
0.2156,0.1770,-0.4724,-0.9053,-0.695,0.656,0.260,27.90
0.2255,0.1685,-0.5010,-0.9116,0.641,-1.328,0.748,27.37
0.2367,0.1726,-0.5120,-0.8972,1.168,-2.305,0.061,27.90
0.2447,0.2012,-0.5220,-0.9082,1.786,-3.031,-1.145,27.71
0.2704,0.1921,-0.4746,-0.9082,0.519,-4.382,-2.374,27.52
0.2732,0.1841,-0.4702,-0.9001,0.420,-2.870,-5.282,28.04
0.2780,0.1680,-0.4526,-0.8845,-5.664,8.679,-3.641,27.85
0.2852,0.1887,-0.4607,-0.9006,1.458,-5.298,-2.481,28.14
0.2957,0.1792,-0.4773,-0.9036,2.160,-2.237,-3.092,27.57
0.3087,0.1875,-0.4600,-0.9211,2.771,-2.214,-2.115,28.04
0.3203,0.1897,-0.4751,-0.9663,3.901,-0.611,0.023,28.14
0.3238,0.1860,-0.4631,-0.9739,8.519,-6.664,0.221,27.18
0.3369,0.1572,-0.4478,-0.9595,6.817,1.305,0.237,27.95
0.3499,0.1460,-0.4377,-0.9487,5.427,6.282,0.947,27.71
0.3536,0.1394,-0.4512,-0.9453,9.588,2.366,-0.038,27.71
0.3662,0.1582,-0.4397,-0.9502,12.313,2.588,0.748,27.95
0.3782,0.1394,-0.4341,-0.9250,15.168,1.885,-0.359,27.37
0.3850,0.1560,-0.4370,-0.9231,15.107,5.389,0.389,27.71
0.3939,0.1348,-0.4497,-0.9272,19.420,2.260,-1.832,28.24
0.4083,0.1440,-0.4714,-0.9639,22.145,3.885,0.298,27.57
0.4183,0.1465,-0.4841,-0.9946,24.947,5.290,1.321,27.52
0.4248,0.1333,-0.4851,-1.0105,27.031,4.252,2.053,28.14
0.4379,0.1218,-0.4834,-1.0337,28.115,5.504,3.206,27.85
