t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.0068,0.4238,-0.0083,-0.9482,0.229,-1.191,-0.397,25.98
0.0240,0.4304,0.0134,-0.9526,0.069,0.084,-0.618,25.94
0.0274,0.4431,0.0010,-0.9553,-0.618,0.122,0.053,25.65
0.0446,0.4363,-0.0149,-0.9744,-0.870,1.427,0.336,25.74
0.0480,0.4299,-0.0186,-0.9763,3.405,-6.565,-1.901,25.65
0.0591,0.4285,-0.0237,-0.9983,-1.756,3.443,-0.740,26.03
0.0631,0.4333,-0.0220,-1.0066,-1.924,3.153,-1.679,25.98
0.0797,0.4434,0.0078,-1.0076,-0.908,1.305,-3.046,25.31
0.0882,0.4619,0.0081,-1.0051,-1.687,2.511,-1.626,25.31
0.1034,0.4575,0.0115,-0.9768,0.977,0.962,-0.931,25.98
0.1070,0.4517,0.0161,-0.9688,1.366,0.718,-0.130,26.03
0.1161,0.4570,0.0251,-0.9639,2.641,-0.840,1.206,25.94
0.1284,0.4458,0.0161,-0.9619,4.038,-0.809,2.573,25.79
0.1422,0.4351,-0.0068,-0.9639,4.481,-2.603,1.374,25.79
0.1473,0.4395,-0.0212,-0.9695,10.763,-12.328,-0.160,25.50
0.1576,0.4504,-0.0151,-0.9695,5.557,-2.450,0.267,25.84
0.1682,0.4517,-0.0093,-0.9707,5.893,-2.748,-0.962,25.65
0.1775,0.4512,-0.0095,-0.9685,5.985,-1.282,-2.435,25.74
0.1944,0.4375,-0.0125,-0.9690,6.435,-3.740,-2.954,25.50
0.1967,0.4592,-0.0208,-0.9624,7.122,-4.527,-3.855,25.79
0.2061,0.4717,-0.0034,-0.9631,6.122,-1.924,-2.878,25.84
0.2265,0.4255,-0.0222,-0.9653,5.588,-2.366,-5.519,25.94
0.2288,0.4475,-0.0232,-0.9500,0.458,7.275,-4.618,25.94
0.2372,0.4463,-0.0166,-0.9670,4.237,0.702,-7.527,25.74
0.2447,0.4453,-0.0042,-0.9614,3.511,1.847,-7.382,25.94
0.2581,0.4536,0.0034,-0.9612,3.885,-0.412,-7.641,25.65
0.2755,0.4426,-0.0122,-0.9558,2.931,0.527,-7.328,25.74
0.2789,0.4436,-0.0100,-0.9529,8.519,-10.527,-8.641,25.98
0.2862,0.4399,-0.0073,-0.9541,-0.328,3.992,-6.611,25.79
0.2967,0.4536,-0.0061,-0.9592,1.443,0.817,-5.290,25.79
0.3123,0.4314,-0.0166,-0.9482,0.664,1.832,-3.962,25.94
0.3176,0.4233,-0.0149,-0.9448,4.168,-7.053,-3.611,25.79
0.3234,0.4170,-0.0017,-0.9402,-1.198,1.405,-4.595,25.65
0.3363,0.4680,0.0276,-0.9480,-0.298,-2.817,-3.427,25.60
0.3468,0.4797,0.0134,-0.9458,-0.618,1.618,0.382,25.60
0.3601,0.4346,-0.0090,-0.9426,0.038,-0.382,0.221,25.74
0.3638,0.4438,-0.0105,-0.9438,4.809,-12.718,-1.481,25.94
0.3770,0.4580,-0.0105,-0.9531,0.443,-0.672,-0.489,25.79
0.3885,0.4402,-0.0168,-0.9561,0.802,0.153,-1.214,25.98
0.4008,0.4292,-0.0024,-0.9492,0.779,-2.695,-2.634,25.98
0.4047,0.4482,0.0063,-0.9478,-0.504,-1.382,-2.496,25.79
0.4173,0.4849,0.0273,-0.9578,0.840,-1.649,0.191,25.65
0.4267,0.4607,0.0115,-0.9512,1.832,-0.397,1.695,25.79
0.4381,0.4326,0.0039,-0.9551,2.336,-2.733,1.679,25.84
0.4449,0.4417,0.0039,-0.9561,1.534,-1.763,0.763,25.74
0.4579,0.4568,0.0129,-0.9556,1.985,-2.344,1.504,25.50
0.4683,0.4536,-0.0022,-0.9561,0.267,0.191,2.458,25.98
0.4774,0.4531,-0.0071,-0.9592,1.588,-2.344,2.450,25.94
0.4867,0.4558,-0.0083,-0.9670,2.191,-3.221,1.229,26.03
0.4926,0.4570,-0.0039,-0.9639,2.366,-3.092,1.763,25.84
0.5061,0.4553,0.0061,-0.9617,1.687,-3.046,2.412,25.12
0.5162,0.4590,0.0024,-0.9580,2.183,-3.550,2.962,25.94
0.5233,0.4546,0.0000,-0.9597,0.038,0.031,3.397,25.84
0.5397,0.4482,0.0002,-0.9563,0.687,-2.321,3.069,26.03
0.5448,0.4548,0.0012,-0.9539,-0.260,-0.519,3.321,25.22
0.5572,0.4485,-0.0073,-0.9556,0.595,-0.855,3.664,25.79
0.5676,0.4419,-0.0112,-0.9570,3.023,-5.557,3.176,25.94
0.5769,0.4431,0.0005,-0.9551,1.099,-1.992,2.038,25.46
0.5867,0.4575,-0.0024,-0.9622,1.267,-3.328,1.603,25.31
0.5926,0.4619,-0.0051,-0.9636,1.588,-2.275,2.565,25.94
0.6054,0.4463,-0.0098,-0.9595,1.389,-1.305,1.924,25.94
0.6153,0.4536,-0.0166,-0.9609,1.595,-2.519,1.221,25.84
0.6226,0.4529,-0.0129,-0.9531,0.695,0.145,0.870,25.50
