t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.0062,0.9832,-0.2302,-0.0613,2.015,-2.649,-1.427,25.84
0.0175,0.9829,-0.2295,-0.0674,2.252,-2.550,-1.237,25.65
0.0400,0.9822,-0.2271,-0.0684,2.206,-2.458,-1.534,25.74
0.0435,0.9846,-0.2300,-0.0627,2.145,-2.603,-1.565,25.50
0.0502,0.9844,-0.2268,-0.0610,2.595,-7.038,-1.702,25.65
0.0615,0.9817,-0.2271,-0.0615,0.023,0.893,-0.954,25.65
0.0649,0.9805,-0.2244,-0.0662,1.969,-2.008,-1.015,25.50
0.0770,0.9832,-0.2251,-0.0698,2.038,-2.382,-1.351,25.94
0.0963,0.9790,-0.2224,-0.0654,2.107,-2.542,-1.374,25.94
0.1034,0.9812,-0.2253,-0.0640,2.168,-2.427,-0.992,25.94
0.1101,0.9846,-0.2263,-0.0669,1.069,-0.542,-0.824,25.98
0.1175,0.9814,-0.2275,-0.0635,1.107,-0.901,-0.763,25.74
0.1250,0.9851,-0.2278,-0.0635,2.076,-2.725,-1.191,25.60
0.1415,0.9834,-0.2246,-0.0649,2.176,-2.351,-1.405,25.94
0.1463,0.9888,-0.2231,-0.0659,5.756,-10.374,-2.336,25.98
0.1563,0.9827,-0.2246,-0.0610,2.275,-2.580,-1.145,25.74
0.1660,0.9807,-0.2253,-0.0669,2.405,-2.718,-1.557,25.31
0.1772,0.9805,-0.2268,-0.0581,2.260,-2.840,-1.031,25.22
0.1859,0.9836,-0.2305,-0.0645,1.466,-1.176,-1.008,25.94
0.1969,0.9812,-0.2253,-0.0640,2.115,-2.519,-1.450,25.65
0.2056,0.9810,-0.2268,-0.0657,1.817,-1.763,-1.122,25.60
0.2160,0.9834,-0.2271,-0.0620,2.176,-2.427,-1.550,25.74
0.2269,0.9817,-0.2251,-0.0620,2.168,-2.435,-1.328,25.50
0.2409,0.9792,-0.2273,-0.0693,2.099,-2.794,-1.130,25.46
0.2469,0.9866,-0.2283,-0.0647,2.573,-3.328,-1.328,25.60
0.2564,0.9802,-0.2295,-0.0618,2.000,-2.237,-1.168,26.18
