t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.0071,0.1060,-0.4978,-0.8604,-2.008,-6.015,12.855,27.42
0.0256,0.0911,-0.4888,-0.8914,1.870,-5.832,28.664,26.99
0.0343,0.1143,-0.4683,-0.9434,6.092,-6.397,45.969,27.33
0.0396,0.1992,-0.4307,-0.9077,9.061,-2.092,51.137,27.52
0.0477,0.1821,-0.4258,-0.9429,13.427,3.344,63.359,27.57
0.0586,0.1646,-0.3525,-0.9673,14.351,7.557,76.527,27.23
0.0800,0.1270,-0.4199,-0.9114,16.840,11.969,98.382,27.33
0.0839,0.1538,-0.4224,-0.9065,16.817,16.115,100.214,27.33
0.0927,0.0930,-0.4377,-0.9148,19.198,10.397,108.107,27.23
0.0970,0.0574,-0.4177,-0.9429,15.863,10.740,109.626,27.37
0.1056,0.2410,-0.4607,-0.9695,9.611,20.282,104.305,27.37
0.1179,0.3394,-0.3574,-0.9685,8.519,20.870,88.145,27.09
0.1260,0.0386,-0.3762,-0.9980,2.649,15.634,76.359,27.61
0.1326,0.2664,-0.3408,-0.9810,0.618,10.573,55.023,27.09
0.1515,0.0354,-0.2793,-1.0154,-7.275,1.901,15.802,27.37
0.1581,-0.0137,-0.2952,-1.0669,-10.786,-2.824,5.504,27.52
0.1679,-0.1265,-0.5322,-1.0327,-5.733,-10.153,9.611,27.52
0.1821,-0.0049,-0.7019,-1.0251,0.595,-16.290,7.832,27.18
0.1845,0.1387,-0.6611,-1.0696,2.740,-8.282,-0.908,27.52
0.1958,0.2603,-0.4907,-1.0620,6.458,-6.153,-4.565,27.37
0.2072,0.2917,-0.4424,-0.9475,6.137,-7.588,-7.031,27.23
0.2228,0.2458,-0.4294,-0.9163,7.198,-8.450,-4.038,27.57
0.2301,0.0828,-0.4570,-0.8806,8.130,-12.427,-1.519,27.23
0.2354,0.0474,-0.5039,-0.9055,8.557,-6.443,-4.603,27.52
0.2516,0.1218,-0.5015,-0.9417,10.374,-5.656,-10.916,27.42
0.2573,0.1189,-0.5288,-0.9392,11.229,-10.641,-11.748,27.71
0.2642,0.1729,-0.5908,-0.9014,11.267,-10.672,-11.282,27.42
0.2766,0.0422,-0.4766,-0.8967,12.435,-11.298,-18.702,27.61
0.2874,0.1250,-0.4880,-0.9011,11.405,-10.221,-17.794,27.37
0.3008,0.0398,-0.4475,-0.8735,9.817,-6.893,-6.176,27.42
0.3083,0.0337,-0.4478,-0.8743,14.168,-17.031,-6.824,27.18
0.3182,0.0793,-0.4946,-0.9053,8.855,-1.840,-9.542,27.76
0.3247,0.1001,-0.5005,-0.8901,6.847,2.015,-11.046,27.52
0.3418,0.1108,-0.5154,-0.9062,7.870,1.099,-8.427,27.61
0.3492,0.0879,-0.5085,-0.9058,5.198,5.443,-5.710,27.37
0.3553,0.0940,-0.4939,-0.8931,8.321,-0.893,-6.145,27.33
0.3655,0.1069,-0.4888,-0.9058,7.496,1.542,-5.718,27.52
0.3793,0.1091,-0.4917,-0.8931,6.466,2.244,-6.366,27.18
0.3854,0.0823,-0.5093,-0.9128,6.099,1.328,-6.672,27.37
0.3950,0.0964,-0.5151,-0.9194,5.985,1.687,-5.992,26.85
0.4038,0.0925,-0.5051,-0.9314,5.756,0.748,-6.710,27.09
0.4151,0.1128,-0.5120,-0.9321,5.473,1.183,-7.740,27.23
0.4247,0.1272,-0.5059,-0.9314,5.519,1.702,-8.878,27.23
0.4341,0.1248,-0.5093,-0.9402,5.382,2.336,-8.702,27.52
0.4456,0.1426,-0.5068,-0.9338,5.389,2.366,-9.206,27.37
0.4554,0.1096,-0.5073,-0.9246,5.366,1.771,-6.992,27.71
0.4637,0.1487,-0.4885,-0.9060,5.427,2.137,-7.786,27.37
0.4735,0.1462,-0.5063,-0.9106,5.588,1.061,-8.725,27.37
0.4830,0.1438,-0.5015,-0.9058,5.489,0.931,-7.305,27.42
0.4957,0.1465,-0.5010,-0.9006,4.794,1.023,-6.771,27.52
0.5077,0.1482,-0.4995,-0.9016,4.802,0.786,-6.183,27.42
0.5153,0.1472,-0.5093,-0.9067,3.687,0.176,-5.496,27.33
0.5255,0.1375,-0.5090,-0.9087,3.305,-1.290,-4.214,27.18
0.5355,0.1396,-0.5234,-0.9177,2.321,-1.130,-7.672,27.42
0.5492,0.1279,-0.5173,-0.9214,2.015,-2.725,-8.252,27.33
