t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.0032,-0.0146,-0.3525,-0.9849,2.817,-0.237,-1.573,27.61
0.0181,-0.0146,-0.3528,-0.9985,2.618,-0.779,-1.908,27.85
0.0234,-0.0059,-0.3496,-0.9956,7.092,-8.282,-2.557,28.24
0.0400,-0.0020,-0.3462,-0.9937,2.702,-0.519,-2.031,27.61
0.0488,-0.0063,-0.3496,-0.9839,-1.794,6.458,-1.137,28.04
0.0563,0.0029,-0.3499,-0.9968,2.771,-0.863,-1.802,28.24
0.0814,-0.0059,-0.3472,-1.0046,2.969,-0.481,-1.382,27.95
0.0866,-0.0010,-0.3535,-0.9983,2.840,-0.565,-2.145,28.24
0.0890,-0.0054,-0.3560,-0.9878,7.511,-8.832,-3.107,27.85
0.1101,-0.0034,-0.3472,-0.9841,2.908,-0.534,-2.664,27.42
0.1132,-0.0107,-0.3481,-0.9861,3.069,-1.344,-3.328,27.57
0.1192,0.0059,-0.3442,-0.9910,0.733,1.840,-2.618,27.90
0.1270,-0.0010,-0.3467,-0.9980,3.878,-2.702,-3.221,27.61
0.1380,0.0002,-0.3430,-1.0027,3.305,-1.038,-2.130,28.24
0.1460,-0.0010,-0.3413,-1.0015,7.824,-8.954,-2.573,28.04
0.1571,0.0020,-0.3408,-0.9998,3.603,-0.847,-1.611,27.95
0.1677,-0.0012,-0.3455,-1.0037,4.298,-1.664,-1.183,27.76
0.1737,0.0081,-0.3337,-0.9907,3.046,0.504,-0.214,27.57
0.1861,-0.0146,-0.3486,-0.9915,4.298,-0.916,-0.038,27.95
0.2001,-0.0054,-0.3518,-0.9895,4.244,-0.313,-0.023,27.61
0.2133,0.0042,-0.3474,-0.9766,2.901,0.847,0.427,28.04
0.2157,0.0061,-0.3501,-0.9851,4.031,-0.053,0.443,27.95
0.2275,0.0071,-0.3438,-0.9858,3.550,0.977,0.992,27.76
0.2384,0.0002,-0.3630,-0.9907,3.557,-0.145,1.061,27.90
0.2539,0.0020,-0.3669,-1.0015,3.489,-0.634,1.290,27.85
0.2603,0.0007,-0.3704,-1.0022,3.244,-0.313,0.542,27.85
0.2627,0.0049,-0.3694,-0.9932,2.237,0.466,0.504,27.95
0.2774,-0.0034,-0.3704,-0.9861,2.863,-0.809,-0.374,28.09
0.2849,-0.0051,-0.3704,-0.9810,2.977,-2.031,-1.328,27.85
0.2982,0.0000,-0.3591,-0.9888,2.275,-1.221,-2.076,27.76
0.3046,-0.0027,-0.3572,-0.9861,2.069,-1.260,-2.252,28.09
0.3184,0.0129,-0.3477,-0.9888,1.939,-1.282,-2.076,27.85
0.3279,0.0139,-0.3499,-0.9905,1.389,0.046,-1.328,27.85
0.3351,0.0151,-0.3523,-0.9912,2.328,-0.802,-1.557,27.76
0.3481,0.0042,-0.3457,-1.0000,2.206,-0.214,-0.443,28.09
0.3551,-0.0068,-0.3467,-0.9976,1.366,1.786,0.099,27.52
0.3670,-0.0066,-0.3574,-0.9966,2.412,-0.038,-0.771,28.09
0.3729,-0.0017,-0.3638,-0.9978,1.840,0.527,-0.802,27.90
0.3841,-0.0029,-0.3640,-0.9985,2.351,-0.947,-1.824,27.90
0.3957,0.0010,-0.3564,-0.9897,2.313,-0.534,-2.611,28.09
0.4045,0.0032,-0.3579,-0.9971,0.672,2.275,-2.443,27.95
0.4179,0.0020,-0.3516,-0.9946,3.023,-1.168,-2.237,28.28
0.4285,0.0066,-0.3430,-0.9961,2.916,-1.313,-2.092,27.76
0.4329,0.0234,-0.3447,-0.9954,2.885,0.008,-1.840,27.90
0.4458,0.0073,-0.3398,-0.9934,3.489,-0.252,-1.084,28.14
0.4550,-0.0078,-0.3567,-0.9927,3.542,-0.573,-1.267,27.42
0.4630,0.0171,-0.3542,-0.9968,3.519,0.885,-1.931,27.85
0.4787,0.0034,-0.3562,-0.9897,3.931,0.817,-2.565,27.95
0.4981,0.0071,-0.3582,-0.9875,2.260,4.466,-2.969,27.95
0.5005,0.0059,-0.3545,-0.9868,5.710,1.191,-5.183,27.71
0.5064,0.0105,-0.3503,-0.9800,-1.290,15.412,-4.099,27.71
0.5135,0.0107,-0.3342,-0.9902,6.985,1.626,-6.420,27.95
0.5235,0.0134,-0.3110,-0.9873,9.321,1.053,-7.626,27.95
0.5329,0.0115,-0.3018,-0.9924,11.695,0.962,-8.641,28.24
0.5453,0.0007,-0.2561,-1.0134,14.885,1.298,-9.038,27.95
0.5552,-0.0010,-0.2310,-1.0388,17.702,-1.405,-6.916,28.09
0.5643,-0.0129,-0.2756,-1.0476,19.473,-0.779,-5.954,28.04
0.5733,-0.0439,-0.3596,-1.0430,20.702,-0.397,-6.176,28.09
0.5894,0.0691,-0.4211,-1.0476,22.573,-0.038,-9.145,27.95
0.5980,0.0273,-0.4202,-1.0073,23.939,-1.947,-11.802,27.95
0.6072,0.0276,-0.4099,-0.9912,26.916,-7.122,-14.885,27.90
0.6146,0.0229,-0.3845,-0.9817,24.672,-3.649,-16.817,27.95
0.6284,0.0007,-0.3896,-0.9597,25.321,-4.137,-15.649,28.24
0.6326,-0.0867,-0.3540,-0.9727,25.130,-6.550,-6.618,27.95
0.6457,-0.0764,-0.2461,-1.0159,21.092,-8.374,-10.519,28.14
0.6545,0.1230,-0.2515,-1.0369,18.290,-1.794,-11.305,27.90
0.6625,0.1523,-0.3049,-0.9773,20.550,0.176,-8.061,27.95
0.6742,0.0430,-0.4128,-0.9402,25.664,2.282,-7.290,27.61
0.6874,0.0276,-0.3928,-0.9705,32.870,2.702,-5.977,27.71
0.6940,0.0142,-0.3435,-0.9897,39.924,2.573,-3.298,27.76
0.7070,0.0505,-0.2893,-1.0601,45.939,4.359,-0.985,27.76
0.7140,0.0447,-0.2363,-1.0835,51.817,5.122,-3.229,27.90
0.7258,0.0024,-0.2202,-1.1230,59.336,3.069,-8.412,27.57
0.7326,-0.0225,-0.2976,-1.0996,62.099,3.641,-8.282,27.90
0.7482,-0.0249,-0.3601,-1.1445,71.977,-6.664,-23.611,28.04
0.7568,-0.0637,-0.4741,-1.1763,78.015,-9.550,-40.053,27.61
0.7668,-0.0684,-0.5076,-1.2559,85.786,-14.122,-60.183,28.04
