t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.0131,0.7839,0.4409,0.4277,2.374,-1.847,-1.420,29.53
0.0182,0.7908,0.4419,0.4263,1.863,-2.183,-1.786,29.63
0.0311,0.7900,0.4358,0.4224,1.664,-2.046,-0.931,29.82
0.0378,0.7942,0.4429,0.4338,4.496,-8.519,-1.489,29.53
0.0498,0.7783,0.4338,0.4258,1.038,-2.573,-1.000,29.82
0.0646,0.7842,0.4373,0.4275,-1.221,0.137,-1.229,29.19
0.0671,0.7786,0.4226,0.4321,1.382,-2.656,-1.893,29.19
0.0853,0.7905,0.4199,0.4263,1.069,-1.191,-1.473,29.67
0.0885,0.7888,0.4282,0.4348,2.137,-2.244,-1.786,29.63
0.1142,0.7830,0.4211,0.4316,2.344,-2.389,-1.244,29.63
0.1188,0.7874,0.4314,0.4333,-1.107,1.198,-0.641,29.53
0.1361,0.7852,0.4229,0.4304,5.733,-8.748,-2.573,29.43
0.1414,0.7896,0.4275,0.4263,2.763,-2.084,-1.687,29.63
0.1518,0.7871,0.4321,0.4258,8.214,-11.893,-2.603,29.19
0.1604,0.7837,0.4380,0.4331,2.313,-2.847,-1.015,29.72
0.1691,0.7866,0.4436,0.4321,4.298,-9.374,-1.382,29.29
0.1721,0.7830,0.4258,0.4250,4.145,-5.748,-1.656,29.48
0.1799,0.7930,0.4226,0.4353,0.885,-4.344,-1.740,29.53
0.1845,0.7900,0.4219,0.4199,4.420,-5.321,-1.855,29.72
0.1941,0.7861,0.4282,0.4253,1.969,-1.359,-0.855,29.63
0.2030,0.7854,0.4294,0.4268,3.733,-5.191,-1.061,29.43
0.2221,0.7847,0.4268,0.4241,2.893,-2.809,-1.641,29.48
0.2263,0.7822,0.4270,0.4194,6.695,-8.656,-2.176,29.63
0.2349,0.7871,0.4287,0.4233,3.260,-3.985,-1.687,29.15
0.2499,0.7957,0.4377,0.4275,3.053,-2.237,-0.580,29.63
0.2641,0.7935,0.4412,0.4260,-4.092,9.466,0.863,29.63
0.2676,0.7822,0.4280,0.4309,3.198,-1.878,-0.588,29.82
0.2817,0.7729,0.4309,0.4243,3.237,-1.901,-1.336,29.63
0.2993,0.7859,0.4324,0.4319,-0.160,2.031,-1.870,29.96
0.3047,0.7917,0.4465,0.4312,2.489,-1.863,-0.992,29.87
0.3098,0.7922,0.4438,0.4316,6.023,-9.122,-1.466,29.15
0.3162,0.7856,0.4404,0.4250,2.580,-2.710,-0.634,29.63
0.3257,0.7854,0.4231,0.4250,2.573,-3.802,-0.183,29.63
0.3344,0.7756,0.4268,0.4246,-1.176,3.000,0.527,29.43
0.3430,0.7783,0.4321,0.4321,3.115,-5.290,-0.687,29.72
0.3646,0.7847,0.4341,0.4297,1.794,-2.267,-1.855,29.63
0.3675,0.7898,0.4407,0.4314,-3.466,5.359,-1.153,29.63
0.3733,0.7898,0.4277,0.4309,0.519,0.031,-1.634,29.48
0.3877,0.7864,0.4268,0.4243,1.863,-1.679,-1.160,29.72
0.3956,0.7834,0.4202,0.4214,-0.130,1.802,-0.252,29.63
0.4048,0.7876,0.4265,0.4268,2.756,-2.870,-1.534,29.67
0.4173,0.7815,0.4353,0.4333,2.588,-2.550,-1.107,29.53
0.4264,0.7791,0.4373,0.4312,2.435,-2.267,-1.359,29.15
0.4383,0.7788,0.4316,0.4260,2.481,-3.344,-1.809,29.72
0.4488,0.7817,0.4238,0.4258,2.840,-3.725,-2.206,29.29
0.4546,0.7913,0.4307,0.4309,3.252,-3.687,-2.496,29.82
0.4681,0.7886,0.4390,0.4358,2.008,-1.496,-1.802,29.43
0.4789,0.7876,0.4387,0.4321,2.206,-2.366,-1.321,29.53
0.4846,0.7847,0.4302,0.4297,1.924,-2.687,-1.000,29.72
0.4953,0.7810,0.4302,0.4241,1.634,-2.191,-1.412,29.19
0.5055,0.7771,0.4282,0.4263,1.817,-3.092,-1.817,29.19
0.5149,0.7876,0.4302,0.4324,2.076,-3.038,-1.634,29.15
0.5257,0.7861,0.4304,0.4304,1.382,-1.366,-1.344,30.01
0.5343,0.7876,0.4309,0.4246,1.718,-1.473,-1.389,29.43
0.5511,0.7842,0.4282,0.4253,1.855,-2.130,-0.588,29.48
0.5538,0.7827,0.4392,0.4333,-4.435,8.954,0.832,29.63
0.5641,0.7812,0.4316,0.4282,2.191,-2.679,-0.855,29.43
0.5744,0.7817,0.4297,0.4324,2.565,-3.160,-1.092,29.15
0.5826,0.7837,0.4387,0.4277,2.534,-3.405,-1.496,29.48
0.5965,0.7869,0.4304,0.4260,1.931,-2.122,-1.542,29.63
0.6060,0.7878,0.4336,0.4299,2.298,-2.466,-1.504,29.10
0.6134,0.7852,0.4302,0.4229,1.275,-0.588,-1.176,29.87
0.6309,0.7866,0.4333,0.4246,1.954,-1.786,-1.038,29.67
0.6334,0.7883,0.4304,0.4329,4.473,-10.290,-1.992,29.15
0.6437,0.7822,0.4365,0.4321,1.573,-2.183,-1.153,29.43
0.6577,0.7815,0.4338,0.4365,1.931,-2.130,-1.664,29.43
0.6639,0.7822,0.4272,0.4343,2.115,-2.916,-1.985,29.53
0.6761,0.7844,0.4255,0.4282,2.450,-3.252,-1.595,29.72
0.6836,0.7883,0.4221,0.4255,3.595,-4.954,-1.718,29.63
0.6984,0.7920,0.4294,0.4297,2.511,-2.359,-1.092,29.29
0.7054,0.7939,0.4380,0.4333,2.328,-1.702,-0.977,29.48
0.7135,0.7825,0.4351,0.4285,2.313,-2.053,-0.756,29.63
0.7265,0.7793,0.4304,0.4287,1.878,-1.496,-1.092,29.82
0.7358,0.7761,0.4243,0.4216,2.298,-2.702,-1.435,29.63
0.7426,0.7810,0.4263,0.4302,0.344,1.534,-1.031,29.53
0.7621,0.7844,0.4321,0.4263,2.221,-1.763,-1.908,29.63
0.7668,0.7896,0.4309,0.4255,1.000,0.992,-1.038,29.63
0.7784,0.7834,0.4282,0.4319,2.344,-2.130,-1.084,29.96
0.7827,0.7783,0.4314,0.4236,8.756,-13.565,-2.725,29.19
0.7964,0.7749,0.4272,0.4258,3.099,-3.420,-1.908,29.15
0.8056,0.7908,0.4299,0.4297,3.221,-3.305,-1.626,29.87
0.8143,0.7881,0.4351,0.4268,2.725,-2.901,-1.359,29.63
0.8259,0.7856,0.4365,0.4312,2.931,-3.450,-1.183,29.19
