t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.0027,0.0164,-0.3169,-1.0120,1.580,-2.359,-0.779,27.33
0.0134,0.0144,-0.3171,-1.0081,1.824,-1.885,-0.977,27.52
0.0253,0.0208,-0.3164,-1.0063,1.969,-2.206,-0.977,27.42
0.0389,0.0190,-0.3167,-1.0066,1.969,-1.893,-1.000,27.04
0.0502,0.0181,-0.3250,-1.0046,1.908,-1.802,-1.794,27.57
0.0612,0.0234,-0.3145,-0.9988,1.061,-2.313,-1.275,27.37
0.0676,0.0222,-0.3186,-1.0066,1.939,-1.748,-1.656,27.23
0.0844,0.0217,-0.3201,-1.0032,1.924,-1.649,-1.275,27.33
0.0926,0.0227,-0.3218,-1.0024,1.344,-0.763,-0.832,27.37
0.0963,0.0210,-0.3218,-1.0012,1.718,-1.305,-0.908,27.52
0.1059,0.0190,-0.3193,-1.0002,2.214,-1.840,-1.237,27.37
0.1239,0.0229,-0.3203,-1.0017,1.885,-1.405,-1.244,27.52
0.1266,0.0254,-0.3206,-0.9910,4.145,-5.885,-1.725,27.04
0.1363,0.0249,-0.3208,-1.0044,1.954,-2.183,-1.153,27.52
0.1592,0.0232,-0.3235,-1.0100,1.824,-2.061,-1.267,27.76
0.1621,0.0271,-0.3269,-1.0164,1.924,-1.702,-1.458,27.57
0.1676,0.0137,-0.3230,-1.0142,6.702,-10.725,-2.725,27.23
0.1772,0.0164,-0.3228,-1.0149,2.076,-2.115,-2.420,27.52
0.1893,0.0137,-0.3098,-1.0129,2.435,-2.237,-2.779,27.52
0.1973,0.0134,-0.3115,-1.0144,1.664,-0.305,-1.763,27.37
0.2039,0.0481,-0.3035,-1.0120,2.099,-0.023,-1.374,27.18
0.2196,0.0190,-0.3120,-1.0100,3.817,-1.153,-0.359,27.23
0.2256,0.0242,-0.3125,-1.0085,9.542,-12.847,-1.733,27.57
0.2379,0.0205,-0.3240,-1.0098,4.427,-0.977,-0.351,27.18
0.2484,0.0178,-0.3225,-1.0034,4.756,-1.496,-0.328,27.76
0.2532,0.0205,-0.3213,-1.0034,4.435,-0.740,-0.626,27.57
0.2679,0.0183,-0.3254,-1.0020,4.473,-0.550,-0.412,27.37
0.2789,0.0122,-0.3242,-1.0027,4.519,-0.557,-0.893,27.37
0.2947,0.0122,-0.3237,-1.0024,4.183,-1.466,-1.618,27.57
0.2984,0.0239,-0.3416,-1.0085,4.298,-1.840,-2.931,27.61
0.3149,0.0317,-0.3293,-1.0032,4.076,-1.122,-2.863,27.90
0.3173,0.0225,-0.3230,-1.0022,3.527,-1.443,-2.534,27.37
0.3247,0.0081,-0.3369,-0.9932,3.229,-2.000,-3.122,27.57
0.3340,0.0381,-0.3372,-0.9932,3.214,-1.389,-4.389,27.61
0.3474,0.0117,-0.3413,-0.9924,2.611,-1.542,-5.817,27.57
0.3580,0.0166,-0.3389,-0.9927,2.359,-1.992,-7.611,27.37
0.3639,0.0295,-0.3228,-0.9854,1.038,0.405,-8.435,27.61
0.3732,0.0476,-0.3398,-0.9990,1.924,-2.557,-8.916,27.57
0.3825,0.0232,-0.3354,-1.0063,2.031,-3.511,-9.908,26.99
0.3942,0.0457,-0.3330,-0.9985,0.740,-2.397,-9.107,27.42
0.4075,0.0542,-0.3340,-1.0000,1.267,-2.656,-7.603,27.18
0.4175,0.0491,-0.3142,-1.0161,1.023,-0.176,-6.076,27.61
0.4232,-0.0022,-0.3250,-1.0149,0.840,0.015,-6.198,27.23
0.4337,-0.0037,-0.3298,-1.0112,1.847,-0.756,-6.496,27.52
0.4426,0.0212,-0.3469,-0.9863,1.954,0.221,-6.221,27.52
0.4562,0.0603,-0.3035,-1.0149,1.229,0.763,-5.511,27.52
0.4699,0.0359,-0.3208,-0.9929,0.786,1.496,-5.351,26.85
0.4724,0.0374,-0.3147,-1.0042,0.962,1.611,-4.847,27.37
0.4866,-0.0007,-0.3223,-1.0088,1.252,1.588,-5.160,27.61
0.4976,0.0132,-0.3267,-1.0107,1.580,2.214,-4.969,27.52
0.5038,0.0095,-0.3323,-1.0049,1.779,1.634,-6.061,27.23
0.5130,0.0107,-0.3105,-1.0171,1.908,2.908,-5.473,27.52
0.5287,-0.0020,-0.3398,-0.9961,2.519,2.565,-2.176,27.57
0.5349,-0.0652,-0.3044,-1.0261,2.725,0.023,3.618,27.18
0.5477,0.0837,-0.2683,-1.0115,2.939,2.534,-0.809,27.18
0.5582,0.0598,-0.2957,-1.0020,4.511,5.359,-2.450,27.61
0.5654,0.1067,-0.2932,-1.0195,4.802,9.443,-1.374,27.52
0.5763,0.0273,-0.2900,-1.0247,8.962,7.214,-1.519,27.23
0.5826,-0.0046,-0.2930,-1.0232,8.626,10.397,-1.611,27.52
0.5935,0.0452,-0.2593,-1.0400,13.115,8.718,-0.015,27.61
0.6033,0.0259,-0.2676,-1.0386,16.870,8.863,-0.977,27.37
0.6127,0.0278,-0.2456,-1.0542,20.718,10.847,2.405,27.37
0.6346,0.0078,-0.2310,-1.1047,28.664,12.160,1.046,27.52
0.6428,0.0024,-0.2388,-1.1306,30.298,14.076,-0.290,27.71
0.6471,-0.0127,-0.3298,-1.0872,38.206,9.130,-3.611,27.42
0.6618,0.2246,-0.2156,-1.1279,48.183,17.840,2.321,26.99
0.6648,-0.0083,-0.2312,-1.1211,57.802,-0.641,-1.214,27.95
0.6844,-0.0347,-0.3259,-1.1260,61.641,10.855,-9.580,27.85
0.6932,0.1584,-0.2512,-1.1392,67.527,14.099,-25.023,27.52
0.6990,-0.1206,-0.2195,-1.2454,70.802,14.817,-19.748,27.61
0.7078,0.4309,-0.1499,-1.3623,81.626,27.092,-18.092,27.52
0.7170,-0.1206,-0.3110,-1.2190,83.779,9.687,-46.679,27.42
0.7242,0.4871,-0.2598,-1.4246,91.244,28.221,-27.489,27.23
0.7370,-0.0928,-0.2861,-1.3567,94.374,24.313,-25.466,27.52
0.7467,0.3813,-0.2678,-1.3933,91.603,38.244,-3.733,27.57
0.7563,-0.0432,-0.4810,-1.3394,94.107,30.321,-9.786,27.37
0.7679,-0.1379,-0.2332,-1.4392,92.107,32.458,-9.847,27.76
0.7800,-0.2285,-0.0146,-1.2139,73.389,35.947,3.603,27.57
0.7895,-0.2200,-0.0278,-1.1609,64.420,44.038,5.756,27.33
0.7934,-0.1943,0.0710,-1.1143,50.718,12.718,10.847,27.37
0.8128,0.0728,0.2114,-0.8506,26.511,9.542,15.733,27.57
0.8186,0.1213,0.2070,-0.8794,27.145,-2.611,10.061,27.23
0.8246,0.0042,0.3782,-0.8579,7.893,5.550,18.206,27.42
0.8400,-0.2131,0.3979,-0.9458,-21.198,-5.031,21.580,27.61
0.8424,-0.1895,0.3586,-0.9236,-31.573,6.985,22.466,27.23
0.8594,0.0452,0.2957,-0.9888,-43.969,-7.916,24.527,27.52
0.8644,0.0730,0.3218,-1.0256,-55.763,-9.366,24.565,27.37
0.8781,-0.0159,0.2163,-1.0264,-73.710,-8.702,28.099,27.42
0.8938,-0.2620,0.0615,-1.0112,-89.733,-7.374,39.603,27.23
0.8969,0.0833,0.1179,-1.0696,-99.809,12.260,52.137,27.23
0.9031,-0.2683,0.2910,-1.1406,-103.489,8.099,39.137,27.61
0.9165,0.2935,0.0974,-1.2292,-112.511,12.840,11.122,27.52
0.9322,0.0151,0.0178,-1.1479,-120.206,-2.908,46.710,27.33
0.9347,0.0752,-0.0222,-1.1465,-120.687,-14.824,56.496,27.33
0.9505,0.0229,-0.0347,-1.2952,-123.824,-9.183,58.176,27.52
0.9549,-0.0251,-0.0159,-1.2493,-127.092,-7.588,60.405,27.76
0.9664,0.0674,-0.1003,-1.2068,-128.344,-1.267,54.191,27.18
0.9753,0.1494,-0.0776,-1.2454,-130.672,-0.969,54.115,27.33
0.9862,0.0520,-0.1089,-1.2766,-133.344,-6.290,57.718,27.33
0.9991,0.0293,-0.1550,-1.2795,-136.458,-8.702,58.176,27.52
1.0089,0.0854,-0.1799,-1.2798,-132.985,-15.160,50.183,27.37
1.0159,0.1130,-0.1594,-1.2910,-137.656,-9.977,42.641,27.23
1.0291,0.1921,-0.1536,-1.2693,-139.137,-5.939,41.046,27.23
1.0363,0.1819,-0.1589,-1.2717,-135.206,-11.351,39.954,27.37
1.0461,0.1270,-0.1782,-1.2512,-138.458,-1.092,45.450,27.57
1.0592,0.0715,-0.2463,-1.2402,-137.122,1.389,44.832,27.61
1.0627,0.0422,-0.2417,-1.2349,-132.382,-6.710,40.092,27.37
1.0789,0.1187,-0.1863,-1.2629,-134.664,1.244,26.969,27.33
1.0896,0.1089,-0.2202,-1.2285,-129.466,-2.573,20.809,27.76
1.0931,0.0901,-0.2476,-1.2122,-122.221,-8.084,21.672,27.33
1.1055,0.0598,-0.1814,-1.1606,-120.473,-2.374,17.000,27.18
1.1130,0.0276,-0.1655,-1.1548,-118.481,-1.611,12.580,27.42
1.1251,0.0391,-0.0959,-1.1565,-114.756,-4.000,5.840,27.52
1.1352,0.0061,-0.1482,-1.1038,-108.191,-7.206,6.626,27.90
1.1432,-0.2874,-0.0366,-1.1948,-107.176,-8.542,-6.618,27.37
1.1559,0.0120,-0.0520,-1.1006,-101.298,-7.344,-5.832,27.42
1.1654,0.1084,-0.0754,-1.1108,-96.847,-12.023,-9.023,27.71
1.1741,0.0093,-0.2146,-1.0400,-92.969,-15.656,-8.855,27.52
1.1875,-0.0713,-0.2620,-0.9685,-86.954,-15.832,-8.168,27.57
1.1971,-0.1296,-0.2256,-0.9160,-83.145,-17.412,-16.000,27.37
1.2048,-0.0879,-0.2056,-0.9055,-74.649,-20.130,-27.527,27.33
1.2149,-0.0095,-0.1726,-0.8926,-67.511,-14.221,-48.947,27.42
1.2288,-0.0061,-0.1780,-0.8076,-58.527,-16.763,-51.183,27.52
1.2339,0.0715,-0.1597,-0.8018,-53.183,-15.450,-43.939,27.52
1.2433,0.0674,-0.1470,-0.8076,-44.565,-12.534,-34.183,27.37
1.2560,0.0886,-0.1519,-0.7966,-35.489,-14.389,-24.748,27.18
1.2659,0.0574,-0.2603,-0.8062,-25.802,-13.206,-10.672,27.57
1.2751,-0.0183,-0.2917,-0.8748,-15.473,-9.916,-1.550,27.18
1.2883,-0.0427,-0.3608,-0.8792,-3.718,-9.481,1.817,27.18
1.2953,-0.0679,-0.4009,-0.8665,2.649,-8.374,4.580,27.52
1.3049,0.0144,-0.4514,-0.8347,14.931,-9.771,11.802,27.23
1.3229,0.0020,-0.5122,-0.8735,27.901,-7.534,20.603,27.37
1.3274,-0.1089,-0.4800,-0.8457,46.603,-7.664,33.069,27.52
1.3375,-0.0586,-0.5671,-0.7671,59.420,-3.305,35.290,27.37
1.3487,-0.0647,-0.6829,-0.7654,77.275,-4.084,42.855,27.23
1.3575,-0.0247,-0.7759,-0.8059,91.916,5.679,44.679,27.52
