t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.0067,0.1084,-0.3523,-0.9639,24.015,13.863,15.969,27.09
0.0189,0.1704,-0.4084,-0.9612,22.244,17.481,18.977,27.18
0.0270,0.2046,-0.3672,-0.9556,28.435,7.641,18.634,27.23
0.0397,0.1699,-0.3718,-0.9570,21.145,20.420,25.718,27.18
0.0432,0.1741,-0.3679,-0.9541,28.489,7.992,24.931,27.33
0.0642,0.2251,-0.3042,-0.9619,22.580,24.137,29.924,27.33
0.0665,0.1787,-0.2798,-0.9897,25.374,18.626,29.084,27.57
0.0742,0.1619,-0.2566,-1.0095,22.389,22.527,30.038,26.89
0.0888,0.1809,-0.3042,-0.9924,20.878,25.229,33.107,27.37
0.0989,0.1379,-0.2495,-0.9763,21.328,26.176,39.901,27.57
0.1097,-0.0110,-0.2649,-0.9753,20.573,24.511,46.611,27.37
0.1163,-0.0178,-0.2231,-0.9692,16.122,26.855,49.565,27.52
0.1283,-0.0278,-0.2527,-0.9326,16.977,22.153,52.565,26.80
0.1353,0.0349,-0.2468,-0.9268,12.947,24.595,53.328,27.09
0.1482,0.0425,-0.2766,-0.9036,11.221,19.588,52.626,27.23
0.1586,0.0298,-0.2888,-0.9197,7.756,16.496,50.160,27.52
0.1761,-0.0059,-0.2861,-0.8987,2.595,17.885,46.305,27.52
0.1790,0.0125,-0.3018,-0.9092,-1.870,9.290,36.687,27.18
0.1937,-0.0049,-0.3247,-0.9170,-0.221,-0.214,32.015,26.99
0.2002,0.0039,-0.3228,-0.9258,-10.061,2.992,23.305,27.42
0.2072,0.0000,-0.3225,-0.9302,-13.466,1.366,18.466,27.33
0.2141,-0.0161,-0.3291,-0.9338,-16.863,-2.924,11.756,27.23
0.2312,-0.0588,-0.3418,-0.9290,-21.511,-7.382,7.519,26.89
0.2337,-0.0408,-0.3484,-0.9404,-20.687,-12.779,6.863,26.80
0.2481,0.0088,-0.3699,-0.9387,-24.840,-11.214,8.214,26.89
0.2606,0.0479,-0.3689,-0.9644,-27.214,-11.260,8.344,27.37
0.2629,0.0530,-0.3645,-0.9712,-27.687,-16.084,6.328,26.80
0.2883,0.0613,-0.3198,-0.9822,-30.702,-14.740,5.511,27.04
0.2930,0.0833,-0.2949,-0.9927,-33.481,-16.748,6.198,27.52
0.3032,0.1260,-0.3096,-1.0039,-34.214,-16.649,8.481,27.33
0.3069,0.1072,-0.2896,-1.0029,-37.351,-15.046,10.771,27.23
0.3160,0.1248,-0.2998,-1.0100,-34.557,-15.939,12.656,27.37
0.3282,0.1189,-0.2920,-1.0166,-35.374,-15.282,16.840,27.61
0.3395,0.1184,-0.2852,-1.0012,-35.656,-13.542,18.824,27.23
0.3464,0.1145,-0.2761,-1.0059,-35.511,-13.573,25.466,27.23
0.3581,0.1375,-0.2859,-1.0168,-34.985,-11.015,32.374,27.61
0.3693,0.1367,-0.2961,-1.0244,-34.328,-9.939,38.313,27.04
0.3777,0.1519,-0.2876,-1.0251,-34.664,-7.031,41.817,27.33
0.3842,0.1436,-0.2986,-1.0134,-33.244,-7.702,44.962,26.80
0.3968,0.1379,-0.3201,-1.0154,-32.840,-5.595,47.687,27.37
0.4050,0.1494,-0.3462,-0.9958,-31.802,-5.198,49.908,27.23
0.4203,0.1404,-0.3521,-1.0020,-31.145,-5.374,48.031,27.57
0.4270,0.1633,-0.2727,-1.0693,-32.076,-2.473,48.939,26.99
0.4383,0.0938,-0.3601,-1.0188,-30.824,-4.748,46.061,27.23
0.4455,0.1123,-0.3850,-1.0234,-30.656,-3.855,43.847,27.18
0.4593,0.1274,-0.3982,-1.0332,-28.718,-3.924,42.382,27.52
0.4675,0.0986,-0.4121,-1.0190,-26.977,-3.321,38.908,27.57
0.4749,0.1289,-0.3965,-1.0198,-26.885,-0.863,38.122,27.37
0.4886,0.1133,-0.3921,-1.0232,-23.954,-2.824,32.260,26.99
0.4971,0.0820,-0.3857,-1.0071,-22.725,-4.061,27.450,27.42
0.5028,0.0793,-0.3899,-0.9900,-18.985,-10.099,23.992,27.33
0.5155,0.0771,-0.4006,-0.9941,-20.252,-6.168,18.809,27.33
0.5270,0.0969,-0.3997,-0.9836,-18.702,-7.634,12.634,27.42
0.5385,0.0964,-0.3960,-0.9856,-17.771,-8.710,7.389,26.99
0.5447,0.0981,-0.3899,-0.9888,-18.863,-6.916,4.366,27.37
0.5588,0.1045,-0.3784,-0.9861,-16.489,-9.260,0.702,27.52
0.5634,0.1311,-0.3826,-0.9937,-14.053,-15.107,-0.588,27.09
0.5776,0.1118,-0.3892,-1.0085,-14.603,-9.000,-2.366,27.71
0.5875,0.1199,-0.3691,-1.0122,-13.573,-8.527,-2.924,26.99
0.5950,0.1003,-0.3655,-1.0225,-12.282,-9.244,-3.069,27.18
0.6056,0.1008,-0.3850,-1.0110,-10.824,-9.298,-4.221,27.37
0.6205,0.1072,-0.3533,-0.9934,-9.298,-9.137,-4.076,27.42
0.6231,0.0945,-0.3479,-0.9927,-8.374,-9.351,-4.382,27.33
0.6344,0.0911,-0.3372,-0.9866,-7.229,-9.573,-4.847,26.99
0.6481,0.0884,-0.3113,-0.9780,-5.183,-8.573,-5.267,27.18
0.6550,0.0984,-0.2976,-0.9795,-4.771,-5.718,-3.122,27.09
0.6706,0.0774,-0.2771,-0.9817,-1.573,-8.809,-4.519,27.23
0.6761,0.0740,-0.2830,-0.9888,0.824,-8.336,-3.031,27.33
0.6863,0.0867,-0.2822,-0.9951,3.237,-6.618,-2.313,27.52
0.6947,0.0591,-0.2534,-0.9976,4.397,-5.863,-0.931,27.33
0.7061,0.0605,-0.2534,-1.0120,5.618,-5.870,-1.496,26.89
0.7158,0.0586,-0.2422,-1.0308,6.336,-6.130,-2.725,27.42
0.7249,0.0374,-0.2246,-1.0405,7.336,-7.313,-4.664,27.37
0.7382,0.0420,-0.2292,-1.0645,9.366,-6.779,-6.496,26.56
0.7442,0.0518,-0.2019,-1.0957,8.832,-4.664,-7.191,27.42
0.7584,0.0530,-0.1960,-1.1191,12.206,-5.519,-6.412,27.33
0.7636,0.0618,-0.1995,-1.1216,13.817,-5.336,-7.412,27.18
0.7749,0.0452,-0.1838,-1.1367,14.221,-3.969,-5.756,27.57
0.7892,0.0601,-0.1543,-1.1570,14.305,-4.321,-4.962,27.09
0.7948,0.0544,-0.1401,-1.1565,14.985,-4.122,-6.122,27.42
0.8061,0.0837,-0.1089,-1.1641,15.344,-3.870,-4.893,27.42
0.8161,0.0972,-0.0906,-1.1528,15.992,-5.359,-4.687,27.37
0.8245,0.0942,-0.0544,-1.1416,15.260,-5.412,-4.130,27.18
0.8363,0.0903,-0.0078,-1.1350,13.504,-5.550,-4.183,27.33
0.8490,0.0696,0.0112,-1.1252,10.733,-5.229,-4.473,27.23
0.8525,0.0979,0.0352,-1.1101,11.992,-9.573,-5.046,27.09
0.8629,0.1182,0.0317,-1.1418,6.947,-4.565,-3.351,27.33
0.8754,0.0557,0.0532,-1.1194,4.252,-6.198,-1.099,27.33
0.8857,0.0918,0.0806,-1.1326,0.328,-5.015,1.863,27.18
0.8926,0.0842,0.0823,-1.1199,-3.802,-1.000,1.656,26.89
0.9045,0.1025,0.0842,-1.1021,-5.863,-5.130,3.481,27.23
0.9145,0.1057,0.0981,-1.1086,-9.466,-6.153,5.725,27.18
0.9227,0.2644,0.1682,-1.1824,-12.931,-6.382,-4.802,26.85
0.9363,-0.6321,0.0913,-1.0193,-19.321,-3.046,-3.366,27.09
0.9440,0.5361,0.1909,-1.1340,-21.893,-5.489,-2.420,27.33
0.9543,0.0432,0.1113,-1.1414,-27.939,2.359,13.519,27.23
0.9660,-0.0286,0.0791,-1.1499,-29.634,-3.397,22.962,27.33
0.9735,0.0479,0.0862,-1.1162,-33.779,2.092,11.786,27.04
0.9866,0.0999,0.1428,-1.1475,-37.779,0.840,14.099,27.23
0.9933,0.0811,0.1055,-1.1274,-42.115,3.359,20.206,27.37
1.0098,0.0371,0.1057,-1.1321,-44.885,-0.794,22.176,27.42
1.0129,0.0217,0.1016,-1.1213,-40.603,-10.000,17.015,27.42
1.0280,0.0483,0.1121,-1.0984,-48.733,-2.168,19.405,27.52
1.0368,0.0186,0.1008,-1.0996,-50.427,-1.924,21.565,27.04
1.0440,0.0352,0.0945,-1.0962,-54.099,-1.450,26.351,27.18
1.0538,0.0562,0.0723,-1.0791,-57.153,-0.603,23.389,27.18
1.0650,-0.0161,0.1057,-1.0754,-59.168,-2.763,27.099,27.42
1.0740,0.0437,0.0437,-1.0439,-61.817,0.458,26.672,27.52
1.0865,-0.0981,-0.0691,-1.0027,-61.969,-5.473,26.977,27.42
1.0927,-0.0564,-0.0686,-1.0535,-65.008,-3.878,28.099,27.52
1.1063,-0.0181,-0.0430,-1.0586,-68.794,-7.420,19.382,27.37
1.1140,-0.0437,0.0125,-1.0876,-71.450,-7.618,14.336,27.23
1.1229,0.0139,0.0173,-1.0918,-72.008,-11.061,14.374,27.09
1.1362,-0.0757,-0.0894,-1.0310,-74.282,-10.214,22.969,27.18
1.1486,-0.1204,-0.2222,-0.9795,-74.092,-10.206,26.298,27.33
1.1551,-0.0210,-0.1187,-1.0339,-75.557,-7.137,25.359,27.57
1.1642,-0.0789,-0.1951,-0.9653,-73.595,-9.840,20.641,27.57
1.1755,-0.0081,-0.0637,-1.0396,-73.641,-13.756,20.595,27.18
1.1873,-0.0613,-0.1819,-0.9773,-72.527,-16.229,9.702,27.33
1.1928,0.0828,-0.0137,-1.1812,-74.221,-14.237,6.641,27.18
1.2058,0.0269,-0.0620,-1.1521,-71.756,-12.947,2.573,27.09
1.2154,0.1470,0.0750,-1.2312,-68.908,-10.321,6.435,27.09
1.2225,0.1384,0.2366,-1.2634,-71.321,-5.511,1.748,27.09
1.2366,0.0056,0.1914,-1.1528,-65.733,-9.977,12.702,27.33
1.2546,0.0974,0.3542,-1.0444,-61.824,-4.725,17.550,27.18
1.2587,0.2075,0.2937,-1.0410,-57.366,-1.672,24.840,27.23
1.2636,0.2173,0.3792,-1.0579,-53.740,-9.527,25.595,27.52
1.2736,0.0225,0.2480,-0.9751,-59.954,4.229,30.267,27.71
1.2870,0.0110,0.1064,-0.9265,-65.229,-0.069,26.718,26.80
1.2927,0.1201,0.0691,-0.9736,-65.160,-0.832,14.885,27.52
1.3070,0.0281,0.1726,-0.9351,-61.855,-2.069,-3.611,27.37
1.3157,0.0071,0.2664,-0.9116,-59.947,-1.366,-10.786,27.52
1.3248,0.0635,0.3398,-0.9785,-53.916,-10.878,-27.939,27.23
1.3358,-0.0747,0.2139,-0.9905,-52.947,-16.504,-33.939,27.18
1.3448,0.0645,0.2131,-0.9478,-51.015,-16.489,-33.710,27.42
1.3605,-0.0396,0.0767,-0.8928,-45.702,-17.389,-30.573,27.23
1.3644,-0.0342,0.0583,-0.8489,-41.466,-22.855,-36.099,27.18
1.3759,-0.1162,0.0073,-0.8318,-38.863,-20.260,-38.359,27.04
1.3875,-0.1538,-0.1045,-0.7629,-32.305,-22.206,-37.962,27.18
