t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.0024,0.0200,-0.2715,-1.0144,4.046,0.206,-0.198,28.04
0.0236,0.0264,-0.2764,-1.0076,4.527,0.229,-0.664,28.43
0.0260,0.0139,-0.2817,-1.0137,4.511,-1.099,-0.183,28.24
0.0492,0.0381,-0.2903,-1.0295,4.580,0.321,-1.611,28.04
0.0531,0.0049,-0.2808,-1.0190,4.595,-0.008,-0.870,28.14
0.0623,0.0212,-0.2871,-1.0144,9.046,-8.634,-2.137,28.14
0.0677,0.0105,-0.2808,-1.0178,5.321,-1.061,0.336,27.95
0.0844,-0.0200,-0.2759,-1.0085,3.832,1.725,-0.031,27.95
0.0878,0.0120,-0.3218,-1.0195,3.901,-0.282,-0.511,28.04
0.0946,0.0544,-0.3008,-1.0181,2.824,2.878,-0.595,27.95
0.1110,0.0261,-0.2871,-1.0239,2.802,1.336,-0.748,27.57
0.1152,0.0310,-0.2896,-1.0186,3.321,-0.290,-1.145,28.14
0.1241,0.0151,-0.2771,-1.0229,3.130,1.435,-0.542,27.95
0.1466,0.0237,-0.2920,-1.0051,3.336,0.878,0.519,27.95
0.1599,0.0210,-0.2842,-1.0195,3.458,1.763,0.305,28.43
0.1623,0.0093,-0.2786,-1.0200,1.221,4.656,0.939,27.95
0.1700,0.0103,-0.2795,-1.0193,-5.115,17.969,2.145,28.38
0.1727,0.0024,-0.3042,-1.0193,2.939,2.046,-0.008,28.04
0.1871,0.0383,-0.2954,-1.0269,3.527,2.336,-1.771,28.43
0.2005,-0.0037,-0.2864,-1.0183,3.107,1.229,-3.076,28.24
0.2066,0.0161,-0.2834,-1.0330,2.252,3.252,-3.443,28.24
0.2182,0.0083,-0.2976,-1.0210,3.221,1.534,-3.931,28.09
0.2284,0.0337,-0.2871,-1.0166,2.824,3.305,-5.130,28.38
0.2356,0.0022,-0.2668,-1.0125,3.008,1.718,-4.260,27.90
0.2463,0.0637,-0.2925,-1.0229,3.542,2.573,-4.977,28.04
0.2549,0.0249,-0.2871,-1.0151,1.718,5.771,-4.618,28.24
0.2658,0.0474,-0.2827,-1.0129,3.916,2.107,-6.389,28.24
0.2795,0.0105,-0.2510,-1.0288,4.420,3.397,-4.214,27.95
0.2836,-0.0425,-0.2205,-1.0227,10.015,-9.435,-1.885,28.24
0.2961,-0.0674,-0.1941,-1.0186,3.176,-1.664,3.489,28.43
0.3146,0.0281,-0.1633,-0.9912,5.206,4.771,4.740,28.38
0.3172,0.0913,-0.2131,-1.0342,7.328,5.374,7.504,28.38
0.3270,0.0750,-0.2710,-0.9736,8.817,4.504,9.305,27.95
0.3342,0.0835,-0.2883,-1.0071,15.534,6.107,6.947,28.14
0.3452,0.0657,-0.2729,-1.0366,18.336,6.878,7.947,28.43
0.3549,0.0417,-0.2576,-1.0527,21.389,6.550,5.076,28.48
0.3635,0.0093,-0.2349,-1.0659,25.000,6.748,4.985,28.04
0.3777,0.0562,-0.1926,-1.0725,32.351,7.840,6.229,28.24
0.3854,0.0483,-0.1260,-1.0986,34.397,11.206,9.573,28.09
0.3945,0.0264,-0.1782,-1.1028,45.061,7.809,8.992,28.38
0.4081,0.0676,-0.0974,-1.1497,56.573,9.672,10.519,28.43
0.4151,0.0186,-0.0881,-1.1462,60.740,9.122,14.740,28.09
0.4256,0.0364,-0.1333,-1.2290,70.710,7.702,3.260,27.76
0.4327,-0.0674,-0.1409,-1.2134,75.542,5.267,-0.053,28.14
0.4446,-0.1021,-0.2976,-1.2366,85.374,5.450,-17.374,28.62
0.4539,-0.0576,-0.1887,-1.2783,90.092,7.626,-22.229,28.09
0.4644,-0.1077,-0.2864,-1.3965,95.939,-1.153,-20.649,28.28
0.4754,-0.1338,-0.3799,-1.5391,104.695,-4.336,-27.687,27.85
0.4853,-0.1936,-0.2822,-1.6418,108.290,-4.496,-26.992,28.28
0.4983,-0.0095,-0.3364,-1.8052,112.214,-3.649,-41.588,28.28
0.5147,-0.6218,-0.2197,-1.7646,123.366,24.489,-14.725,27.95
0.5173,-0.6143,-0.1775,-1.6050,128.450,23.160,-8.359,28.04
0.5338,-0.2148,-0.1943,-1.4915,90.496,11.656,18.748,28.24
0.5415,0.5286,-0.0232,-1.5239,76.863,16.344,0.802,28.43
0.5484,0.3557,0.0903,-1.3535,75.168,-0.618,-9.290,27.95
0.5549,0.0117,0.4250,-1.0779,55.557,-5.282,-43.901,28.04
0.5753,-0.3281,0.7896,-0.9397,30.595,-24.351,-1.885,28.28
0.5850,0.1165,0.9324,-0.9468,-5.809,-33.969,9.664,28.62
0.5873,0.2400,0.7986,-1.0002,-10.160,-29.695,-4.489,28.38
0.5981,-0.1257,0.7634,-0.8777,-28.053,-39.290,-1.588,28.43
0.6074,0.0906,0.7485,-0.9307,-51.802,-34.221,17.817,28.09
0.6145,0.1589,0.8362,-1.0293,-65.802,-28.313,27.015,28.28
0.6259,0.1477,0.9563,-0.9978,-82.130,-21.969,27.000,27.95
0.6348,0.0232,0.5852,-1.0518,-102.840,-20.435,38.115,28.14
0.6490,0.2471,0.4858,-1.1216,-122.924,-15.397,44.588,27.90
0.6574,0.0640,0.3054,-1.1221,-134.382,-9.870,54.000,28.14
0.6709,0.0750,0.2197,-1.1833,-146.328,-7.847,62.748,28.24
0.6774,0.1399,0.2588,-1.2900,-150.550,-2.206,70.359,28.04
0.6863,0.0854,0.1631,-1.3440,-158.168,-7.618,76.824,28.43
0.7013,0.1960,-0.0540,-1.4392,-163.069,4.573,75.733,28.48
0.7037,0.0696,-0.0449,-1.4377,-166.466,15.160,75.641,28.28
0.7199,0.1331,-0.0059,-1.4768,-172.687,16.710,82.481,28.09
0.7267,0.0874,-0.1677,-1.4324,-173.672,19.840,82.809,28.43
0.7423,-0.0510,-0.2327,-1.4919,-178.458,25.824,87.206,28.38
0.7472,-0.0796,-0.2585,-1.4763,-180.336,19.000,92.908,27.95
0.7532,-0.0730,-0.2847,-1.4006,-180.344,21.763,89.496,28.43
0.7634,-0.0671,-0.3372,-1.4468,-178.519,20.450,80.603,28.24
0.7775,-0.0332,-0.2634,-1.3640,-177.733,17.802,74.069,28.67
0.7872,0.0183,-0.2258,-1.2961,-176.840,14.328,62.023,28.14
0.7940,-0.0354,-0.2791,-1.2732,-172.580,20.885,55.748,28.48
0.8065,-0.1934,-0.4185,-1.2114,-163.565,21.672,47.855,28.43
0.8132,-0.0994,-0.4832,-1.1934,-152.962,20.458,53.076,28.57
0.8283,-0.0330,-0.3508,-1.1372,-139.527,16.885,46.878,28.28
0.8366,-0.2439,-0.3855,-1.1221,-136.855,13.947,37.176,28.38
