t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.0036,-0.0881,-0.1726,-1.0315,9.641,5.305,7.542,27.57
0.0214,0.2695,-0.3833,-1.0562,17.504,12.588,7.450,27.52
0.0293,0.0142,-0.2781,-1.0134,19.160,8.374,1.122,27.37
0.0345,0.0012,-0.2615,-1.0039,20.527,6.985,7.191,27.76
0.0495,0.0234,-0.4568,-0.8977,23.084,6.282,6.542,27.33
0.0556,0.0137,-0.4697,-0.9175,20.763,2.794,-0.336,27.61
0.0821,0.0491,-0.4194,-0.9055,16.588,-1.168,-13.504,27.57
0.0873,0.0625,-0.4185,-0.9189,11.267,5.489,-14.130,27.37
0.0954,0.0769,-0.3987,-0.9365,18.740,-9.130,-14.565,27.23
0.0981,0.0623,-0.3840,-0.9578,13.099,0.053,-10.786,27.37
0.1077,0.0210,-0.3921,-0.9421,11.969,4.267,-6.427,27.52
0.1154,0.0212,-0.3948,-0.9277,7.153,8.084,-4.939,27.85
0.1284,0.0410,-0.3970,-0.9492,7.298,4.443,-0.198,27.57
0.1386,0.0562,-0.4011,-0.9546,6.145,3.458,2.069,27.33
0.1521,0.0251,-0.3782,-0.9529,3.290,0.740,0.802,27.42
0.1547,0.0439,-0.3594,-0.9504,1.847,0.145,1.237,27.52
0.1679,0.0605,-0.3289,-1.0081,2.038,-2.679,1.260,27.52
0.1799,-0.0005,-0.3965,-1.0312,-0.443,0.374,0.160,27.23
0.1828,-0.0237,-0.3977,-1.0093,-1.832,-1.305,1.153,27.42
0.2034,0.0571,-0.4180,-1.0237,-1.420,-2.840,3.557,27.52
0.2076,0.0710,-0.3699,-1.0479,-1.702,-0.931,1.626,27.37
0.2191,0.0334,-0.3865,-1.0081,-2.458,-4.565,0.679,27.61
0.2252,0.0525,-0.3767,-1.0210,-3.924,-2.870,-0.947,27.71
0.2376,0.0337,-0.3823,-1.0002,-3.382,-5.046,-1.038,27.18
0.2495,0.0327,-0.3635,-0.9871,-3.756,-5.679,-4.168,27.37
0.2560,0.0137,-0.3777,-0.9780,-4.191,-6.550,-4.832,27.42
0.2686,0.0398,-0.3660,-0.9668,-4.786,-5.198,-8.756,27.61
0.2778,0.0312,-0.3718,-0.9553,-4.824,-6.145,-9.542,27.57
0.2861,0.0115,-0.3657,-0.9592,-6.504,-3.107,-8.756,27.61
0.2984,0.0234,-0.3496,-0.9524,-5.336,-6.344,-9.038,27.04
0.3038,0.0081,-0.3394,-0.9465,-6.351,-5.557,-7.351,27.57
0.3177,-0.0225,-0.3406,-0.9456,-5.992,-7.794,-9.809,27.37
0.3259,-0.0100,-0.3713,-0.9641,-7.336,-5.496,-9.504,27.18
0.3346,0.0017,-0.3635,-0.9719,-7.565,-5.817,-8.427,27.42
0.3461,0.0112,-0.3523,-0.9758,-7.756,-8.198,-7.511,27.33
0.3569,0.0322,-0.3381,-0.9961,-7.305,-7.969,-8.550,27.42
0.3688,0.0193,-0.3271,-1.0073,-7.718,-8.198,-8.977,27.37
0.3745,-0.0049,-0.3481,-0.9968,-3.305,-16.130,-10.198,27.57
0.3853,0.0308,-0.3540,-0.9907,-6.504,-8.588,-7.450,27.33
0.4009,0.0229,-0.3125,-1.0227,-6.206,-9.130,-6.267,27.61
0.4042,0.0068,-0.3193,-1.0195,-6.092,-9.412,-5.527,27.57
0.4155,0.0056,-0.3423,-1.0107,-6.160,-8.885,-5.977,27.37
0.4253,0.0112,-0.3342,-1.0156,-6.191,-8.840,-4.443,27.85
0.4357,0.0095,-0.3530,-0.9866,-6.275,-8.115,-5.084,26.99
0.4466,0.0237,-0.3479,-0.9897,-6.420,-7.565,-5.992,27.52
0.4587,0.0103,-0.3225,-0.9902,-6.534,-9.046,-4.992,27.52
0.4666,0.0139,-0.3325,-0.9849,-7.626,-6.977,-5.580,27.57
0.4768,0.0254,-0.3247,-0.9910,-6.336,-9.115,-4.985,27.42
0.4832,0.0144,-0.3247,-0.9971,-7.832,-6.473,-4.260,27.52
0.4974,0.0061,-0.3159,-0.9924,-6.985,-9.076,-2.718,27.42
0.5059,0.0251,-0.3328,-0.9958,-7.351,-8.099,-2.649,27.76
0.5152,0.0146,-0.3296,-0.9966,-7.046,-9.107,-1.763,27.61
0.5254,-0.0010,-0.3279,-0.9978,-7.420,-9.206,-2.489,27.52
0.5332,-0.0012,-0.3440,-0.9912,-7.702,-9.115,-2.916,27.23
0.5444,-0.0115,-0.3293,-0.9939,-7.359,-9.008,-3.611,27.42
