t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.0087,0.4146,-0.0945,-0.9678,2.481,-3.771,-0.771,26.27
0.0166,0.4150,-0.1052,-0.9670,2.351,-2.145,0.198,25.94
0.0238,0.4038,-0.1172,-0.9712,1.565,-0.718,-0.374,26.03
0.0547,0.4189,-0.0967,-0.9697,3.023,-3.321,-1.695,25.98
0.0572,0.4131,-0.1050,-0.9729,2.038,-0.992,-1.702,25.98
0.0607,0.4031,-0.0959,-0.9651,-3.122,9.313,-0.664,26.18
0.0681,0.3982,-0.0999,-0.9712,5.649,-8.855,-2.099,26.32
0.0763,0.3984,-0.0974,-0.9604,2.863,-4.450,-3.893,25.79
0.0863,0.4248,-0.1028,-0.9736,2.634,-2.397,-2.450,26.03
0.1049,0.3984,-0.1089,-0.9692,2.679,-3.282,-3.427,25.60
0.1110,0.4009,-0.1047,-0.9675,7.656,-16.008,-4.809,26.03
0.1156,0.4175,-0.1018,-0.9771,2.809,-5.573,-3.359,25.98
0.1250,0.4287,-0.0986,-0.9731,2.542,-2.634,-2.664,25.79
0.1377,0.4048,-0.0979,-0.9714,2.008,-2.542,-2.389,26.03
0.1466,0.4033,-0.0938,-0.9700,1.511,-2.382,-2.626,25.74
0.1551,0.4141,-0.0989,-0.9695,2.107,-3.221,-2.115,25.79
0.1686,0.4041,-0.1057,-0.9639,2.000,-2.038,-2.695,25.98
0.1779,0.4026,-0.1133,-0.9656,0.603,-0.878,-2.916,26.32
0.1874,0.4077,-0.1057,-0.9746,2.374,-2.977,-4.031,25.84
0.1940,0.4023,-0.1028,-0.9636,0.756,-0.496,-3.992,26.32
0.2065,0.4121,-0.0911,-0.9688,2.450,-3.855,-5.656,25.94
0.2200,0.4275,-0.0903,-0.9717,1.733,-1.992,-2.588,26.27
0.2358,0.4246,-0.0884,-0.9714,-0.382,0.107,-1.870,26.18
0.2383,0.4033,-0.0989,-0.9622,1.893,-3.214,-3.191,25.98
0.2521,0.4163,-0.1067,-0.9690,1.649,-3.321,-2.092,25.98
0.2582,0.4216,-0.0923,-0.9758,2.244,-1.817,-1.931,25.74
0.2706,0.4092,-0.1045,-0.9724,0.695,1.275,-1.527,25.98
0.2774,0.3997,-0.0989,-0.9709,2.916,-4.214,-2.466,26.32
0.2887,0.4138,-0.0994,-0.9678,2.473,-3.573,-2.389,26.32
0.2966,0.4138,-0.0952,-0.9707,2.382,-1.779,-1.229,26.03
0.3085,0.4001,-0.1038,-0.9663,2.000,-2.618,-1.855,25.94
0.3188,0.4138,-0.0999,-0.9702,1.656,-3.534,-2.458,26.32
0.3267,0.4128,-0.1028,-0.9695,1.557,-2.481,-2.710,26.32
0.3353,0.4070,-0.0962,-0.9658,1.550,-1.969,-2.031,26.32
0.3479,0.4080,-0.0935,-0.9731,1.481,-3.412,-1.954,26.03
0.3598,0.4180,-0.0986,-0.9683,1.221,-1.718,-1.305,25.94
0.3638,0.4138,-0.1021,-0.9744,6.901,-12.763,-2.412,26.13
0.3754,0.4036,-0.1006,-0.9766,2.107,-2.664,-2.519,26.32
0.3865,0.4111,-0.0967,-0.9778,2.550,-3.672,-1.962,25.46
0.3928,0.4175,-0.0933,-0.9729,1.366,-1.229,-1.817,25.65
0.4061,0.4075,-0.0959,-0.9709,2.427,-2.168,-1.069,25.60
0.4162,0.4075,-0.0945,-0.9744,2.687,-3.550,-1.176,25.79
0.4288,0.4150,-0.0940,-0.9690,0.817,-0.405,-0.870,25.94
0.4363,0.4197,-0.0964,-0.9626,2.282,-2.267,-0.824,26.27
0.4461,0.4033,-0.1003,-0.9709,2.229,-2.191,-1.061,25.94
0.4550,0.4077,-0.0952,-0.9673,2.046,-3.336,-1.191,26.27
0.4684,0.4148,-0.0945,-0.9685,2.046,-2.168,-0.298,26.18
0.4782,0.4109,-0.0991,-0.9688,0.908,0.191,-0.244,25.94
0.4856,0.4011,-0.1028,-0.9702,1.916,-3.076,-0.947,25.98
0.5026,0.4089,-0.0938,-0.9690,1.878,-2.947,-1.198,25.74
