t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.0029,0.4070,-0.1069,-0.9622,4.275,-3.420,-0.939,25.65
0.0227,0.4143,-0.1279,-0.9639,4.511,-4.458,-2.550,25.50
0.0289,0.4155,-0.1221,-0.9646,3.336,-2.809,-1.947,25.27
0.0360,0.3950,-0.1213,-0.9551,2.748,-2.145,-0.817,25.79
0.0450,0.4062,-0.1301,-0.9741,3.450,-2.557,-1.260,26.13
0.0578,0.4634,-0.1584,-0.9873,5.496,2.611,-6.099,25.79
0.0667,0.4114,-0.0464,-0.9688,7.947,-6.718,-6.878,25.74
0.0765,0.4104,-0.1638,-0.9841,1.183,-1.115,1.038,25.50
0.0848,0.4082,-0.1008,-0.9580,0.763,-3.275,1.588,25.31
0.1056,0.4006,-0.1174,-0.9580,0.588,1.718,-0.626,25.79
0.1103,0.4226,-0.1606,-0.9695,0.099,-1.672,-0.763,25.46
0.1156,0.4338,-0.1311,-0.9756,6.252,-9.313,-4.519,25.84
0.1275,0.4146,-0.1121,-0.9707,-0.550,1.450,-0.015,25.65
0.1390,0.4094,-0.1145,-0.9592,-1.099,1.885,0.763,25.27
0.1453,0.4214,-0.1140,-0.9685,-1.244,3.298,0.504,25.65
0.1697,0.4050,-0.1167,-0.9573,-0.962,0.244,-0.366,25.84
0.1733,0.4202,-0.1467,-0.9580,3.389,-4.427,-3.588,25.65
0.1770,0.4192,-0.1018,-0.9656,4.275,-7.046,-6.359,25.84
0.1892,0.4336,-0.1233,-0.9692,-0.183,0.351,-3.137,25.79
0.1963,0.4326,-0.1082,-0.9717,5.901,-10.053,-4.595,25.46
0.2035,0.4290,-0.1172,-0.9583,0.977,-1.511,-2.397,26.03
0.2146,0.4426,-0.1211,-0.9546,1.962,-1.611,-3.168,25.74
0.2302,0.4407,-0.1338,-0.9668,2.328,-0.176,-3.840,25.94
0.2329,0.4192,-0.1089,-0.9680,2.321,-0.198,-1.908,25.41
0.2496,0.4336,-0.1106,-0.9661,3.214,-2.786,-5.267,25.46
