t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.0032,0.4285,-0.1086,-0.9688,3.580,-3.267,-1.687,25.79
0.0225,0.3984,-0.1077,-0.9749,3.901,-5.901,-2.924,25.79
0.0249,0.4111,-0.1011,-0.9746,6.519,-10.710,-3.038,25.94
0.0449,0.4036,-0.1072,-0.9707,3.695,-3.298,-1.511,26.13
0.0541,0.4050,-0.1104,-0.9595,-0.031,1.084,-0.908,25.94
0.0576,0.3999,-0.1094,-0.9602,4.328,-6.267,-3.038,25.79
0.0724,0.4177,-0.0979,-0.9712,2.420,-3.664,-2.282,25.60
0.0778,0.4224,-0.1045,-0.9780,3.450,-3.374,-0.916,25.79
0.0906,0.4011,-0.1072,-0.9661,3.191,-2.702,-0.756,26.27
0.0952,0.3977,-0.1089,-0.9692,3.824,-5.924,-2.023,26.13
0.1115,0.4229,-0.1135,-0.9675,2.847,-5.252,-0.649,25.98
0.1161,0.4163,-0.1118,-0.9756,3.588,-3.107,-1.053,25.98
0.1276,0.3926,-0.1072,-0.9661,3.176,-4.595,-1.977,26.56
0.1347,0.4041,-0.1079,-0.9600,2.817,-5.397,-1.969,25.79
0.1469,0.4187,-0.1138,-0.9783,2.908,-3.672,-1.748,26.03
0.1610,0.3845,-0.1138,-0.9617,2.420,-2.992,-1.916,25.74
0.1674,0.3835,-0.1113,-0.9658,7.344,-15.237,-2.626,25.94
0.1792,0.4258,-0.1003,-0.9783,1.733,-3.786,-1.573,25.98
0.1881,0.4165,-0.1199,-0.9724,1.267,-0.519,-0.939,25.46
0.1944,0.3875,-0.1121,-0.9685,0.878,-0.084,-0.962,26.18
0.2038,0.3911,-0.1003,-0.9717,1.901,-5.351,-2.550,25.94
0.2142,0.4292,-0.0940,-0.9741,1.840,-4.809,-2.344,25.94
0.2341,0.4080,-0.1123,-0.9729,1.458,0.092,0.137,25.94
0.2381,0.3821,-0.1194,-0.9675,2.382,-3.847,-1.244,25.98
0.2582,0.4307,-0.1001,-0.9714,1.618,-2.427,-1.053,25.98
0.2619,0.4326,-0.1021,-0.9626,3.099,-4.519,-1.015,25.98
0.2644,0.4197,-0.1072,-0.9741,4.130,-7.458,-1.107,26.03
0.2785,0.3818,-0.1196,-0.9700,2.191,-2.954,-1.160,26.32
0.2869,0.4075,-0.1201,-0.9631,1.496,-4.061,-3.038,26.27
0.3000,0.4175,-0.1096,-0.9756,0.878,-1.443,-2.473,25.98
0.3025,0.4028,-0.1135,-0.9722,0.344,-0.267,-2.275,25.94
0.3147,0.3967,-0.1033,-0.9709,1.031,-3.275,-3.168,25.98
0.3260,0.4126,-0.1089,-0.9766,1.466,-3.061,-3.366,26.13
0.3386,0.4072,-0.1091,-0.9614,1.504,-1.817,-2.489,25.98
0.3460,0.4031,-0.0942,-0.9744,1.817,-2.824,-4.740,25.79
0.3557,0.4126,-0.1040,-0.9705,1.420,-3.397,-2.153,25.94
0.3675,0.4053,-0.1064,-0.9648,1.275,-1.443,-2.053,25.84
0.3762,0.3970,-0.1079,-0.9646,1.252,-1.588,-3.359,26.03
0.3851,0.3979,-0.1033,-0.9656,0.733,-1.740,-2.901,25.79
0.3948,0.4043,-0.0999,-0.9695,1.840,-4.191,-3.237,25.94
0.4044,0.4163,-0.1064,-0.9729,1.031,-1.786,-2.221,25.98
0.4151,0.4014,-0.1157,-0.9722,1.221,-1.924,-2.473,26.13
0.4249,0.4080,-0.1077,-0.9727,1.870,-3.061,-3.115,25.60
0.4329,0.4124,-0.1077,-0.9700,1.443,-3.000,-2.863,26.18
0.4480,0.4153,-0.1074,-0.9761,1.305,-1.740,-2.855,25.94
0.4553,0.4053,-0.0959,-0.9709,-0.313,1.489,-2.931,26.13
0.4674,0.4097,-0.0974,-0.9700,1.145,-2.679,-3.420,26.18
0.4776,0.4128,-0.0952,-0.9778,3.489,-5.542,-2.794,26.32
0.4844,0.4089,-0.0979,-0.9678,0.893,-1.954,-1.557,25.84
0.4985,0.4021,-0.0903,-0.9800,1.053,-1.298,-1.198,25.94
0.5071,0.4080,-0.0884,-0.9790,0.092,0.733,-1.137,25.94
0.5145,0.4329,-0.0957,-0.9805,-0.191,3.153,0.573,25.84
0.5247,0.3948,-0.1050,-0.9839,2.588,5.046,0.282,25.98
0.5346,0.3315,-0.1184,-0.9602,2.168,-0.557,-2.695,25.98
0.5480,0.4407,-0.1067,-0.9797,2.405,-4.008,-2.817,25.98
0.5547,0.4614,-0.1016,-0.9800,0.504,5.084,-4.389,25.94
0.5667,0.3643,-0.1174,-0.9600,1.504,1.931,-3.595,25.94
0.5820,0.3750,-0.1179,-0.9543,1.076,-1.260,-2.901,26.18
0.5873,0.4431,-0.0930,-0.9722,2.137,-1.786,-4.725,25.79
0.5968,0.4338,-0.1003,-0.9692,1.779,1.847,-3.214,25.65
0.6082,0.4033,-0.1016,-0.9573,1.534,-1.710,-4.878,26.18
