t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
0.0094,0.1003,-0.3049,-1.0088,2.023,-2.321,-1.191,26.37
0.0145,0.0991,-0.3052,-1.0098,2.374,-3.137,-1.183,26.27
0.0244,0.1001,-0.3093,-1.0063,2.084,-2.786,-1.427,26.27
0.0455,0.0991,-0.3062,-1.0110,2.183,-2.725,-1.412,26.18
0.0519,0.1003,-0.3018,-1.0107,2.145,-2.458,-1.641,25.98
0.0607,0.1013,-0.3062,-1.0081,2.740,-3.466,-1.504,25.94
0.0631,0.0964,-0.3069,-1.0005,2.153,-3.084,-1.328,26.32
0.0882,0.1040,-0.3066,-1.0044,2.336,-2.573,-1.496,26.18
0.0948,0.1033,-0.3057,-1.0024,2.473,-3.084,-1.237,25.98
0.1074,0.0994,-0.3057,-1.0093,2.405,-2.473,-1.122,26.03
0.1102,0.0999,-0.3054,-1.0032,2.069,-2.435,-1.038,26.27
0.1146,0.1016,-0.2966,-1.0103,-1.137,1.366,-0.794,26.32
0.1410,0.0962,-0.3071,-1.0105,2.038,-2.588,-1.023,26.37
0.1450,0.0989,-0.3069,-1.0017,2.015,-2.656,-1.771,26.13
0.1610,0.0986,-0.3054,-1.0071,6.229,-11.069,-2.527,26.32
0.1634,0.0991,-0.3042,-1.0127,2.206,-2.374,-1.366,26.13
0.1680,0.1086,-0.3071,-1.0063,-3.466,7.977,0.145,26.80
0.1871,0.0981,-0.3083,-1.0022,2.061,-2.229,-0.885,25.94
0.1902,0.0994,-0.3066,-1.0110,1.809,-2.534,-0.947,26.37
0.1959,0.0994,-0.3088,-1.0137,7.359,-11.863,-2.389,26.18
0.2048,0.0967,-0.3066,-1.0034,1.763,-2.641,-1.130,26.18
0.2168,0.1006,-0.3022,-1.0012,2.008,-2.275,-1.008,25.79
0.2260,0.1008,-0.3074,-1.0112,0.939,0.107,-0.695,26.27
0.2344,0.0977,-0.3013,-1.0046,2.450,-3.427,-1.153,26.27
0.2459,0.1023,-0.3054,-1.0051,1.962,-2.298,-0.916,26.03
0.2572,0.0977,-0.3030,-1.0083,2.084,-2.565,-1.023,26.32
0.2684,0.0999,-0.3071,-1.0073,2.267,-2.641,-1.374,26.46
0.2752,0.0989,-0.3059,-1.0066,3.679,-5.634,-1.275,26.18
0.2910,0.0962,-0.3086,-1.0046,1.969,-2.435,-1.588,25.79
0.2968,0.1008,-0.3059,-1.0042,2.443,-3.374,-1.733,26.03
